Deal Type,Announce Date,Amendment Date,Completion/Termination Date,Target Name,Target Ticker,Acquirer Name,Acquirer Ticker,Announced Total Value (mil.),Announced Equity Value (mil.),Payment Type,TV/EBITDA,Deal Status,Acquirer Termination Fee,Cash Terms,Nature of Bid,Stock Terms
M&A,2/17/2021, ,12/3/2021,Enable Midstream Partners LP,ENBL US,Energy Transfer LP,ET US,6792.52,2496.52,Stock,7.61,Completed, ,N/A,Friendly,.8595 Aqr sh./Tgt sh.
M&A,2/28/2022, ,7/21/2022,Healthcare Realty Trust Inc/MD,9990721D US,Healthcare Realty Trust Inc,HR US,6592.58,4685.74,Stock,24.23,Completed, ,N/A,Friendly,1.0000 Aqr sh./Tgt sh.
M&A,9/4/2007, ,11/1/2007,Leap Wireless International Inc,1841189D US,T-Mobile US Inc,TMUS US,6589.36,5222.88,Stock,24.5,Terminated, ,N/A,Friendly,2.7500 Aqr sh./Tgt sh.
M&A,1/22/2024, ,5/3/2024,NuStar Energy LP,NS US,Sunoco LP,SUN US,6481.94,3001.37,Stock,9.53,Completed,90.3,N/A,Friendly,.4000 Aqr sh./Tgt sh.
M&A,6/9/2017, ,9/14/2017,DuPont Fabros Technology Inc,DFT US,Digital Realty Trust Inc,DLR US,6309.53,4960.11,Stock,19.02,Completed,300,N/A,Friendly,.5450 Aqr sh./Tgt sh.
M&A,8/16/2023, ,11/3/2023,Crestwood Equity Partners LP,CEQP US,Energy Transfer LP,ET US,6127.67,2840.57,Stock,10.85,Completed, ,N/A,Friendly,2.0700 Aqr sh./Tgt sh.
M&A,5/24/2016,11/2/2016,4/3/2017,Computer Sciences Corp,CSC US,DXC Technology Co,DXC US,6127.13,4661.13,Stock,6.46,Completed, ,N/A,Friendly,1.0000 Aqr sh./Tgt sh.
M&A,2/16/2004, ,10/1/2004,Greenpoint Financial Corp,612939Q US,North Fork Bancorporation Inc,NFB US,6074.29,N/A,Stock, ,Completed, ,N/A,Friendly,1.0514 Aqr sh./Tgt sh.
M&A,7/13/2014, ,12/8/2014,Whiting Canadian Holding Co ULC,KOG US,Whiting Petroleum Corp,WLL US,6038.16,3799.32,Stock,7.81,Completed,130,N/A,Friendly,.1770 Aqr sh./Tgt sh.
M&A,6/3/2016, ,1/11/2017,Colony Capital Inc/Old,1627503D US,DigitalBridge Group Inc,DBRG US,6024.42,2008.49,Stock,10.02,Completed,92,N/A,Friendly,1.4663 Aqr sh./Tgt sh.
M&A,1/10/2005,3/3/2005,3/22/2005,Fox Entertainment Group Inc,0820077D US,TFCF Corp,TFCFA US,5976.94,5976.94,Stock,11.96,Completed, ,N/A,Friendly,2.0400 Aqr sh./Tgt sh.
M&A,9/28/2020, ,1/7/2021,WPX Energy Inc,WPX US,Devon Energy Corp,DVN US,5951.7,2779.7,Stock,14.07,Completed,75,N/A,Friendly,.5165 Aqr sh./Tgt sh.
M&A,6/29/2009, ,10/27/2009,Enterprise TE Partners LP,TPP US,Enterprise Products Partners LP,EPD US,5892.84,3317.74,Stock,15.21,Completed, ,N/A,Friendly,1.2400 Aqr sh./Tgt sh.
M&A,11/14/2016, ,3/2/2017,Equity One Inc,EQY US,Regency Centers Corp,REG US,5892.22,4621.73,Stock,24.14,Completed,240,N/A,Friendly,.4500 Aqr sh./Tgt sh.
M&A,4/19/2021, ,2/1/2022,Sterling Bancorp/DE,STL US,Webster Financial Corp,WBS US,5887.24,5034.13,Stock, ,Completed, ,N/A,Friendly,.4630 Aqr sh./Tgt sh.
M&A,1/16/2018, ,7/16/2018,VICI Properties Inc,VICI US,MGM Growth Properties LLC,MGP US,5855.44,5855.44,Stock,40.4,Withdrawn, ,N/A,Unsolicited,USD 19.5000/Tgt sh.
M&A,1/24/2006, ,5/8/2006,Pixar,PIXR US,Walt Disney Co/The,DIS US,5838.22,6881.88,Stock,26.92,Completed, ,N/A,Friendly,2.3000 Aqr sh./Tgt sh.
M&A,11/24/2020, ,6/17/2021,FS KKR Capital Corp II,FSKR US,FS KKR Capital Corp,FSK US,5718.13,2564.13,Stock, ,Completed, ,N/A,Friendly,.9498 Aqr sh./Tgt sh.
M&A,12/13/2020, ,6/10/2021,TCF Financial Corp,TCF US,Huntington Bancshares Inc/OH,HBAN US,5717.89,5717.89,Stock, ,Completed,238.8,N/A,Friendly,3.0028 Aqr sh./Tgt sh.
M&A,3/9/2015,7/7/2015,4/29/2016,Pinnacle Entertainment Inc/Old,9876567D US,Gaming and Leisure Properties Inc,GLPI US,5711.97,1889.97,Stock,10.36,Completed,150,N/A,Friendly,.8500 Aqr sh./Tgt sh.
M&A,2/19/2007, ,7/30/2008,XM Satellite Radio Holdings Inc,XMSR US,Sirius XM Holdings Inc,SIRI US,5663.65,4591.67,Stock, ,Completed,175,N/A,Friendly,4.6000 Aqr sh./Tgt sh.
M&A,6/18/2018, ,11/2/2018,Corporate Property Associates 17 - Global Inc,CPPY US,WP Carey Inc,WPC US,5493.89,3650.43,Stock, ,Completed, ,N/A,Friendly,.1600 Aqr sh./Tgt sh.
M&A,5/12/2020, ,6/10/2020,Grubhub Inc/old,9990620D US,Uber Technologies Inc,UBER US,5346.3,5346.3,Stock, ,Withdrawn, ,N/A,Friendly,1.9250 Aqr sh./Tgt sh.
M&A,5/6/2015, ,10/1/2015,Crestwood Midstream Partners LP,CMLP US,Crestwood Equity Partners LP,CEQP US,5319.63,3227.73,Stock,12.61,Completed, ,N/A,Friendly,2.7500 Aqr sh./Tgt sh.
M&A,8/1/2016, ,11/22/2016,Tesla Energy Operations Inc/DE,1745597D US,Tesla Inc,TSLA US,5319.16,2428.27,Stock, ,Completed,78.2,N/A,Unsolicited to Friendly,.1100 Aqr sh./Tgt sh.
M&A,1/25/2015, ,8/3/2015,PartnerRe Ltd,2062207D US,Axis Capital Holdings Ltd,AXS US,5312.97,5312.97,Stock, ,Terminated, ,N/A,Friendly,2.1800 Aqr sh./Tgt sh.
M&A,10/24/2008, ,1/2/2009,National City Corp,NCC US,PNC Financial Services Group Inc/The,PNC US,5311.87,5311.87,Stock, ,Completed, ,N/A,Friendly,.0392 Aqr sh./Tgt sh.
M&A,2/22/2021, ,4/5/2022,People's United Financial Inc,PBCT US,M&T Bank Corp,MTB US,5245.72,7061.42,Stock, ,Completed, ,N/A,Friendly,.1180 Aqr sh./Tgt sh.
M&A,2/20/2014, ,7/31/2014,Emeritus Corp,ESC US,Brookdale Senior Living Inc,BKD US,5232.05,1302.35,Stock,16.2,Completed,143,N/A,Friendly,.9500 Aqr sh./Tgt sh.
M&A,9/15/2015, ,3/1/2016,Sirona Dental Systems Inc,SIRO US,DENTSPLY SIRONA Inc,XRAY US,5038.5,5380.7,Stock,15.58,Completed,280,N/A,Friendly,1.8142 Aqr sh./Tgt sh.
