Deal Type,Announce Date,Amendment Date,Completion/Termination Date,Target Name,Target Ticker,Acquirer Name,Acquirer Ticker,Announced Total Value (mil.),Announced Equity Value (mil.),Payment Type,TV/EBITDA,Deal Status,Acquirer Termination Fee,Cash Terms,Nature of Bid,Stock Terms,deal_id,Exchange Ratio,Clean Target Ticker,Clean Acquirer Ticker,target_market_cap,acquirer_market_cap
M&A,2023-08-31,,2023-11-21,Acer Therapeutics Inc,ACER US,Zevra Therapeutics Inc,ZVRA US,45.73,15.01,Stock,,Completed,,,Friendly,.1210 Aqr sh./Tgt sh.,815,0.121,ACER,ZVRA,27888960.0,182559540.0
M&A,2005-06-21,,2005-10-07,Genaissance Pharmaceuticals Inc,GNSC US,Clinical Data Inc,CLDA US,44.2,42.95,Stock,,Completed,,,Friendly,.0650 Aqr sh./Tgt sh.,818,0.065,GNSC,CLDA,39938350.0,81659099.99999999
M&A,2020-12-10,,2021-03-22,Neos Therapeutics Inc,NEOS US,Aytu BioPharma Inc,AYTU US,37.77,6.57,Stock,,Completed,2,,Friendly,.1088 Aqr sh./Tgt sh.,840,0.1088,NEOS,AYTU,34431844.0,80340040.00000001
M&A,2003-10-22,2003-12-15,2004-03-29,NCO Portfolio Management Inc,NCPM US,Expert Global Solutions Inc/Georgia,NCOG US,37.2,37.2,Stock,5.03,Completed,,,Friendly,.3619 Aqr sh./Tgt sh.,842,0.3619,NCPM,NCOG,97068400.00000001,632466900.0
M&A,2024-01-04,,2024-03-01,FG Group Holdings Inc,FGH US,Fundamental Global Inc,FGF US,35.9,27.68,Stock,,Completed,,,Friendly,1.0000 Aqr sh./Tgt sh.,846,1.0,FGH,FGF,27394120.0,15415084.1
M&A,2020-02-11,,2020-06-29,Qumu Corp,QUMU US,Synacor Inc,SYNC US,34.61,34.61,Stock,,Terminated,2,,Friendly,1.6100 Aqr sh./Tgt sh.,849,1.61,QUMU,SYNC,29410010.0,54097380.0
M&A,2020-10-23,,2020-12-30,CONSOL Coal Resources LP,CCR US,Core Natural Resources Inc,CNR US,33.99,33.99,Stock,1.64,Completed,,,Friendly,.7300 Aqr sh./Tgt sh.,852,0.73,CCR,CNR,,
M&A,2011-07-27,,2011-11-28,Alliance Bankshares Corp,ABVA US,Eagle Bancorp Inc,EGBN US,30.46,30.46,Stock,,Terminated,,,Friendly,.4317 Aqr sh./Tgt sh.,863,0.4317,ABVA,EGBN,26822250.0,269549420.0
M&A,2016-05-24,,2016-09-14,Mines Management Inc,MGN US,Hecla Mining Co,HL US,30.19,30.59,Stock,,Completed,,,Friendly,.2218 Aqr sh./Tgt sh.,864,0.2218,MGN,HL,27857150.4,1557643780.0
M&A,2014-10-22,,2015-02-02,BTU International Inc,BTUI US,Amtech Systems Inc,ASYS US,29.29,31.92,Stock,,Completed,1.32,,Friendly,.3291 Aqr sh./Tgt sh.,869,0.3291,BTUI,ASYS,29679400.0,99939840.00000001
